product_category_name,customer_state,total_orders,avg_cost_to_serve,avg_cost_pct,problem_rate
consoles_games,MA,6,33.39333333333334,0.7742263567609661,0.16666666666666666
moveis_decoracao,PI,22,40.62409090909091,0.7652750538712879,0.22727272727272727
utilidades_domesticas,MA,24,37.400416666666665,0.7582671096229044,0.5
casa_conforto_2,SP,14,11.984285714285715,0.7528469235249808,0.0
eletronicos,RJ,422,18.512251184834124,0.7411711796675644,0.15876777251184834
eletronicos,RS,156,16.90903846153846,0.7374740293129219,0.057692307692307696
fashion_underwear_e_moda_praia,BA,6,18.373333333333335,0.7296211259480487,0.0
eletronicos,MS,22,19.020454545454545,0.7189953635837187,0.18181818181818182
consoles_games,PA,14,37.57928571428572,0.7169124615053751,0.21428571428571427
telefonia,CE,99,23.44590909090909,0.7167810969608787,0.1414141414141414
fashion_underwear_e_moda_praia,PR,6,14.713333333333333,0.7149246887699757,0.0
sinalizacao_e_seguranca,MG,11,34.32181818181818,0.7137315861061478,0.0
eletronicos,MG,281,18.630373665480427,0.7044475325869266,0.0498220640569395
market_place,GO,13,15.411538461538461,0.6916397432252969,0.0
telefonia,PE,127,24.066141732283466,0.6915992259535809,0.07086614173228346
livros_interesse_geral,PB,5,25.253999999999998,0.6899937942885221,0.0
telefonia,MT,66,19.232272727272726,0.6847044634633673,0.06060606060606061
eletronicos,DF,45,16.750222222222224,0.684097782464566,0.044444444444444446
eletrodomesticos,CE,7,59.478571428571435,0.6796284798881302,0.14285714285714285
utilidades_domesticas,RN,25,33.168800000000005,0.6793138073636222,0.08
ferramentas_jardim,RO,6,46.68666666666667,0.6706075176370833,0.0
utilidades_domesticas,PE,60,34.0665,0.6621548608317471,0.0
fashion_bolsas_e_acessorios,MT,14,21.142857142857142,0.6607725948289237,0.07142857142857142
utilidades_domesticas,PA,38,41.30368421052631,0.6599432140673696,0.05263157894736842
eletronicos,PR,179,16.985195530726255,0.6583877438905793,0.055865921787709494
telefonia,RN,24,30.971666666666664,0.6576554484087038,0.08333333333333333
telefonia_fixa,MG,17,18.005294117647058,0.6526684668905869,0.058823529411764705
